stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
3559,1383,Gewerbeschulen Königstraße,48.384625,9.959908,1
356,1502,Daimlerstraße,48.366456,9.952723,2
3560,1393,Grimmelfinger Weg,48.385701,9.965781,1
3561,1393,Grimmelfinger Weg,48.385640,9.965312,1
3562,1380,Saarlandstraße,48.388021,9.970767,1
3563,1380,Saarlandstraße,48.387928,9.970362,1
3564,1360,Römerplatz,48.390863,9.975760,1
3565,1360,Römerplatz,48.390770,9.975428,1
3566,1361,Martin-Luther-Kirche,48.392770,9.978534,1
3567,1361,Martin-Luther-Kirche,48.392546,9.978551,1
357,1503,Heuweg,48.364582,9.952010,1
3570,1020,Stadtwerke,48.403573,9.985834,1
3571,1020,Stadtwerke,48.403100,9.986038,1
3572,1232,Lehrer Tal,48.406556,9.976148,1
3573,1232,Lehrer Tal,48.406383,9.975497,1
3574,1202,Multscherschule,48.408658,9.967699,1
3575,1202,Multscherschule,48.408384,9.968281,1
3576,1200,Eselsberg Hasenkopf,48.414177,9.963611,1
3577,1200,Eselsberg Hasenkopf,48.413872,9.963780,1
3578,1240,Universität Süd,48.422142,9.956944,1
3579,1240,Universität Süd,48.421839,9.956403,1
358,1503,Heuweg,48.364852,9.952117,1
3580,1241,Botanischer Garten,48.425190,9.956658,1
3581,1241,Botanischer Garten,48.424912,9.956829,1
3583,1245,Kliniken Wissenschaftsstadt,48.424374,9.952426,1
3584,1245,Kliniken Wissenschaftsstadt,48.424331,9.952453,1
3585,1246,Universität West,48.421855,9.947106,1
3586,1246,Universität West,48.422234,9.947201,1
3587,1247,Manfred-Börner-Straße,48.419746,9.942717,1
3588,1247,Manfred-Börner-Straße,48.419723,9.942736,1
3589,1248,Hochschule,48.418752,9.938352,1
359,1504,Maybachstraße,48.361514,9.946779,1
3590,1248,Hochschule,48.418720,9.938351,1
3591,1249,Science Park II,48.421440,9.935865,1
360,1504,Maybachstraße,48.361281,9.946275,1
362,1506,Benzstraße,48.366517,9.942464,2
363,1506,Benzstraße,48.366447,9.942483,2
364,1507,Boschstraße,48.370179,9.953896,1
365,1507,Boschstraße,48.371191,9.954389,1
367,1528,Hans-Reyhing-Weg,48.375051,9.955752,2
368,1528,Hans-Reyhing-Weg,48.375082,9.955331,2
37,1107,Wengenholz / Sportpark Nord,48.431114,9.962418,2
371,1532,Siemensstraße,48.362146,9.955000,1
372,1532,Siemensstraße,48.362141,9.954941,1
3745,1200,Eselsberg Hasenkopf,48.414326,9.962903,1
375,1539,Ernst-Abbe-Straße,48.353961,9.926313,1
376,1539,Ernst-Abbe-Straße,48.354109,9.925961,1
39,1107,Wengenholz / Sportpark Nord,48.431294,9.963559,2
393,1561,Graf-Arco-Straße,48.360091,9.938557,2
394,1561,Graf-Arco-Straße,48.360081,9.938294,2
401,1594,Kastbrücke,48.361956,9.962871,2
402,1594,Kastbrücke,48.361759,9.962664,2
407,1600,Pranger,48.360932,9.988371,1
408,1600,Pranger,48.360925,9.988180,1
409,1600,Pranger,48.360194,9.988559,1
411,1601,Oberer Wirt,48.355827,9.985470,2
412,1601,Oberer Wirt,48.356456,9.986297,2
413,1602,Alte Siedlung,48.353877,9.982843,2
414,1602,Alte Siedlung,48.353919,9.983316,2
415,1605,Kapelle,48.360476,9.983415,2
416,1605,Kapelle,48.360519,9.984275,2
417,1608,Ostermahdweg,48.365422,9.990912,2
418,1608,Ostermahdweg,48.364583,9.990544,2
419,1620,Erenlauh,48.358403,9.971099,1
420,1620,Erenlauh,48.358590,9.971087,1
421,1621,Fischerhauser Weg,48.360420,9.976480,1
422,1621,Fischerhauser Weg,48.360512,9.976464,1
423,1631,St.-Gallener-Straße,48.350160,9.978680,1
424,1631,St.-Gallener-Straße,48.349640,9.978680,1
426,1632,Kemptener Straße,48.346505,9.972948,1
427,1632,Kemptener Straße,48.346481,9.972877,1
429,1633,Saulgauer Straße,48.348220,9.968370,1
430,1633,Saulgauer Straße,48.348360,9.968225,1
431,1634,Tannenplatz Zentrum,48.351023,9.973075,1
432,1634,Tannenplatz Zentrum,48.351495,9.972929,1
433,1635,Reutlinger Straße,48.354550,9.970114,1
434,1635,Reutlinger Straße,48.354488,9.970039,1
436,1701,Adenauerbrücke,48.388751,9.988554,2
437,1701,Adenauerbrücke,48.388470,9.988149,2
438,1701,Adenauerbrücke,48.388510,9.989586,2
439,1702,Donaubad,48.385284,9.986987,2
440,1702,Donaubad,48.385052,9.986893,2
441,1703,Jakobsruhe,48.381422,9.990231,2
442,1703,Jakobsruhe,48.381851,9.989462,2
443,1704,Illerbrücke,48.372572,9.989541,2
444,1704,Illerbrücke,48.372702,9.989585,2
445,1705,Amtsgericht,48.391332,9.993790,2
446,1705,Amtsgericht,48.392009,9.994989,2
447,1706,Schützenstraße,48.393606,9.997487,2
448,1707,Donaucenter,48.394400,9.997220,1
449,1708,Petrusplatz,48.394710,9.998093,1
450,1708,Petrusplatz,48.394561,9.998247,1
451,1710,Rathaus Neu-Ulm,48.395136,10.000685,1
452,1710,Rathaus Neu-Ulm,48.395042,10.000725,1
458,1713,Augsburger Tor,48.398277,10.004100,2
459,1719,Waldeck,48.394222,10.010259,2
460,1719,Waldeck,48.394474,10.009652,2
461,1723,Gartenstraße,48.392437,10.000257,1
462,1725,Edisoncenter,48.379399,10.007450,2
463,1725,Edisoncenter,48.379295,10.007269,2
464,1731,Steubenstraße,48.390069,10.007568,1
465,1731,Steubenstraße,48.390226,10.007799,1
466,1732,Escheugraben,48.388117,10.005287,2
467,1732,Escheugraben,48.387656,10.006054,2
468,1733,Riedstraße,48.387981,10.010250,1
469,1733,Riedstraße,48.387909,10.009908,1
47,1102,Loherstraße,48.432175,9.967347,2
470,1734,Bradleystraße,48.385614,10.011383,1
471,1734,Bradleystraße,48.385684,10.011742,1
472,1735,Grethe-Weiser-Straße,48.384420,10.008660,1
473,1735,Grethe-Weiser-Straße,48.384590,10.009030,1
474,1736,Wiley Club,48.381301,10.007744,1
475,1736,Wiley Club,48.380926,10.007783,1
478,1765,Hasenweg,48.366927,10.010967,1
479,1766,Katholische Kirche,48.367236,10.013655,1
48,1134,Wendeschleife Mähringen,48.437362,9.936339,2
480,1767,Allgäuer Straße,48.363930,10.013960,1
481,1767,Allgäuer Straße,48.364010,10.014380,1
482,1768,Hafnerweg,48.366444,10.017895,2
483,1768,Hafnerweg,48.366117,10.018125,2
484,1769,Reichenberger Straße,48.369247,10.015085,1
485,1769,Reichenberger Straße,48.369420,10.014875,1
486,1771,Oberfeld,48.364016,10.011020,2
488,2708,Am Blaugarten,48.411216,9.929133,2
489,2708,Am Blaugarten,48.411041,9.929195,2
49,1132,Alte Straße,48.435551,9.943134,2
490,2710,Hofstraße,48.415236,9.923248,2
491,2710,Hofstraße,48.414780,9.923260,2
497,1540,Hans-Lorenser-Straße,48.356161,9.945124,2
502,1000,ZOB Ost,48.397390,9.983630,1
503,1000,ZOB Ost,48.397390,9.983930,1
505,1331,Auf der Laue,48.394904,9.948159,2
506,1254,Lise-Meitner-Straße,48.418778,9.934868,1
507,1254,Lise-Meitner-Straße,48.418789,9.934571,1
51,1132,Alte Straße,48.435557,9.943256,2
52,1133,Rathaus Mähringen,48.436123,9.940406,2
539,2761,Gasthof Blautal,48.415430,9.879760,2
541,1009,Hafengasse,48.398510,9.996300,1
58,1133,Rathaus Mähringen,48.436258,9.940422,2
59,1505,Dornierstraße,48.358694,9.942834,2
61,1505,Dornierstraße,48.358389,9.942567,2
621,1602,Alte Siedlung,48.353789,9.982736,2
622,1343,Sportzentrum TSG,48.397831,9.944631,2
623,1343,Sportzentrum TSG,48.397804,9.944939,2
624,1345,Fünf-Bäume-Weg,48.396409,9.948808,2
625,1346,Franz-Wiedemeier-Straße,48.398961,9.936816,2
626,1346,Franz-Wiedemeier-Straße,48.398961,9.936816,2
627,1431,Allewind,48.376464,9.891460,2
628,1431,Allewind,48.376594,9.893748,2
629,1432,Panoramastraße,48.377557,9.896644,2
63,1595,Lichternsee,48.358517,9.950693,2
630,1432,Panoramastraße,48.378134,9.896229,2
631,1433,Waldstraße,48.381881,9.897402,2
632,1433,Waldstraße,48.381965,9.897774,2
633,2702,Galgenbergstraße,48.414672,9.916356,2
634,2702,Galgenbergstraße,48.415331,9.915693,2
635,2704,Klingenstein,48.418480,9.908050,2
636,2704,Klingenstein,48.418230,9.908980,2
637,1451,Kirche Harthausen,48.390755,9.914221,2
638,1451,Kirche Harthausen,48.390749,9.914178,2
64,1002,Rathaus Ulm,48.397588,9.994077,1
640,2720,Lindenstraße,48.408549,9.934965,2
644,1903,Ortsstraße,48.401908,10.022584,1
645,1903,Ortsstraße,48.402101,10.022451,1
646,1904,Grundweg,48.403601,10.023367,1
647,1904,Grundweg,48.403562,10.022832,1
648,1906,Roseggerstraße,48.401751,10.024585,1
649,1651,Zollbrücke,48.343184,9.941634,2
65,1003,Rosengasse,48.400330,9.996830,1
650,1651,Zollbrücke,48.342700,9.940977,2
651,1652,Hoher Berg,48.338521,9.939166,2
652,1652,Hoher Berg,48.338769,9.939116,2
655,1671,Wasserturm,48.331587,9.932981,2
656,1671,Wasserturm,48.331733,9.933127,2
657,1672,Illerkirchberger Straße,48.328169,9.931946,2
66,1003,Rosengasse,48.400749,9.996778,1
660,1000,ZOB Ost,48.397470,9.983930,1
67,1595,Lichternsee,48.359215,9.951793,2
68,1005,Haus der Begegnung,48.397720,9.998200,1
69,1005,Haus der Begegnung,48.397690,9.998220,1
70,1006,Gänsturm,48.398930,10.001120,1
707,1000,ZOB Ost,48.397540,9.983930,1
708,1000,ZOB Ost,48.397620,9.983930,1
709,1933,Leipheimer Straße,48.407308,10.046869,2
71,1006,Gänsturm,48.398670,10.000990,1
710,1934,Kirchstraße,48.407895,10.042201,2
711,1936,Altes Rathaus,48.410245,10.039765,2
712,1936,Altes Rathaus,48.410175,10.039790,2
714,1937,Platzgasse,48.408598,10.035448,2
715,1937,Platzgasse,48.408193,10.035053,2
716,1938,Stauffenbergstraße,48.405689,10.030663,2
717,1938,Stauffenbergstraße,48.405609,10.030369,2
