route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
15,53,10348,,,,,,,
15,53,10349,,,,,,,
4,62,1035,,,,,,,
15,53,10350,,,,,,,
15,53,10351,,,,,,,
15,53,10352,,,,,,,
15,53,10353,,,,,,,
15,53,10354,,,,,,,
15,53,10355,,,,,,,
15,53,10356,,,,,,,
15,53,10357,,,,,,,
15,53,10358,,,,,,,
15,53,10359,,,,,,,
4,62,1036,,,,,,,
15,53,10360,,,,,,,
15,53,10361,,,,,,,
15,53,10362,,,,,,,
15,53,10363,,,,,,,
15,53,10364,,,,,,,
15,53,10365,,,,,,,
15,53,10366,,,,,,,
15,53,10367,,,,,,,
15,53,10368,,,,,,,
15,53,10369,,,,,,,
4,62,1037,,,,,,,
15,53,10370,,,,,,,
15,53,10371,,,,,,,
15,53,10374,,,,,,,
15,53,10375,,,,,,,
15,53,10376,,,,,,,
15,53,10377,,,,,,,
15,53,10378,,,,,,,
4,62,1038,,,,,,,
901,53,10381,,,,,,,
901,53,10382,,,,,,,
907,53,10383,,,,,,,
907,53,10384,,,,,,,
901,53,10385,,,,,,,
901,53,10386,,,,,,,
903,53,10389,,,,,,,
4,62,1039,,,,,,,
903,53,10390,,,,,,,
903,53,10391,,,,,,,
903,53,10392,,,,,,,
903,53,10393,,,,,,,
903,53,10394,,,,,,,
905,53,10397,,,,,,,
905,53,10398,,,,,,,
905,53,10399,,,,,,,
4,61,104,,,,,,,
4,62,1040,,,,,,,
905,53,10400,,,,,,,
905,53,10401,,,,,,,
905,53,10402,,,,,,,
907,53,10405,,,,,,,
907,53,10406,,,,,,,
901,53,10407,,,,,,,
901,53,10408,,,,,,,
907,53,10409,,,,,,,
4,62,1041,,,,,,,
907,53,10410,,,,,,,
908,53,10413,,,,,,,
908,53,10414,,,,,,,
908,53,10415,,,,,,,
908,53,10416,,,,,,,
908,53,10417,,,,,,,
908,53,10418,,,,,,,
4,62,1042,,,,,,,
1,53,10421,,,,,,,
1,53,10422,,,,,,,
1,53,10423,,,,,,,
1,53,10424,,,,,,,
1,53,10425,,,,,,,
1,53,10426,,,,,,,
1,53,10427,,,,,,,
1,53,10428,,,,,,,
1,53,10429,,,,,,,
4,62,1043,,,,,,,
1,53,10430,,,,,,,
1,53,10431,,,,,,,
1,53,10432,,,,,,,
1,53,10433,,,,,,,
1,53,10434,,,,,,,
1,53,10435,,,,,,,
1,53,10436,,,,,,,
1,53,10437,,,,,,,
1,53,10438,,,,,,,
1,53,10439,,,,,,,
4,62,1044,,,,,,,
1,53,10440,,,,,,,
1,53,10441,,,,,,,
1,53,10442,,,,,,,
1,53,10443,,,,,,,
1,53,10444,,,,,,,
1,53,10445,,,,,,,
1,53,10446,,,,,,,
1,53,10447,,,,,,,
1,53,10448,,,,,,,
1,53,10449,,,,,,,
4,62,1045,,,,,,,
1,53,10450,,,,,,,
1,53,10451,,,,,,,
1,53,10452,,,,,,,
1,53,10455,,,,,,,
1,53,10456,,,,,,,
1,53,10457,,,,,,,
1,53,10458,,,,,,,
1,53,10459,,,,,,,
1,53,10460,,,,,,,
1,53,10461,,,,,,,
1,53,10462,,,,,,,
1,53,10463,,,,,,,
1,53,10464,,,,,,,
1,53,10465,,,,,,,
1,53,10466,,,,,,,
1,53,10467,,,,,,,
1,53,10468,,,,,,,
1,53,10469,,,,,,,
1,53,10470,,,,,,,
1,53,10471,,,,,,,
1,53,10472,,,,,,,
1,53,10473,,,,,,,
1,53,10474,,,,,,,
1,53,10475,,,,,,,
1,53,10476,,,,,,,
1,53,10477,,,,,,,
1,53,10478,,,,,,,
1,53,10479,,,,,,,
4,62,1048,,,,,,,
1,53,10480,,,,,,,
1,53,10483,,,,,,,
1,53,10484,,,,,,,
1,53,10485,,,,,,,
1,53,10486,,,,,,,
1,53,10487,,,,,,,
1,53,10488,,,,,,,
1,53,10489,,,,,,,
4,62,1049,,,,,,,
1,53,10490,,,,,,,
1,53,10491,,,,,,,
1,53,10492,,,,,,,
1,53,10493,,,,,,,
1,53,10494,,,,,,,
1,53,10495,,,,,,,
1,53,10496,,,,,,,
1,53,10497,,,,,,,
1,53,10498,,,,,,,
1,53,10499,,,,,,,
4,61,105,,,,,,,
4,62,1050,,,,,,,
1,53,10500,,,,,,,
1,53,10501,,,,,,,
1,53,10502,,,,,,,
1,53,10503,,,,,,,
1,53,10504,,,,,,,
1,53,10505,,,,,,,
1,53,10506,,,,,,,
1,53,10507,,,,,,,
1,53,10508,,,,,,,
4,62,1051,,,,,,,
1,53,10511,,,,,,,
1,53,10512,,,,,,,
1,53,10513,,,,,,,
1,53,10514,,,,,,,
1,53,10515,,,,,,,
1,53,10516,,,,,,,
1,53,10517,,,,,,,
1,53,10518,,,,,,,
1,53,10519,,,,,,,
4,62,1052,,,,,,,
1,53,10520,,,,,,,
1,53,10521,,,,,,,
1,53,10522,,,,,,,
1,53,10523,,,,,,,
1,53,10524,,,,,,,
1,53,10525,,,,,,,
1,53,10526,,,,,,,
1,53,10527,,,,,,,
1,53,10528,,,,,,,
1,53,10529,,,,,,,
4,62,1053,,,,,,,
1,53,10530,,,,,,,
1,53,10531,,,,,,,
1,53,10532,,,,,,,
1,53,10533,,,,,,,
1,53,10534,,,,,,,
1,53,10535,,,,,,,
1,53,10536,,,,,,,
1,53,10537,,,,,,,
1,53,10538,,,,,,,
1,53,10539,,,,,,,
4,62,1054,,,,,,,
1,53,10540,,,,,,,
1,53,10541,,,,,,,
1,53,10542,,,,,,,
1,53,10545,,,,,,,
1,53,10546,,,,,,,
1,53,10547,,,,,,,
1,53,10548,,,,,,,
1,53,10549,,,,,,,
4,62,1055,,,,,,,
1,53,10550,,,,,,,
1,53,10551,,,,,,,
1,53,10552,,,,,,,
1,53,10553,,,,,,,
1,53,10554,,,,,,,
1,53,10555,,,,,,,
1,53,10556,,,,,,,
1,53,10557,,,,,,,
1,53,10558,,,,,,,
1,53,10559,,,,,,,
4,62,1056,,,,,,,
1,53,10560,,,,,,,
1,53,10561,,,,,,,
1,53,10562,,,,,,,
1,53,10563,,,,,,,
1,53,10564,,,,,,,
1,53,10565,,,,,,,
1,53,10566,,,,,,,
1,53,10567,,,,,,,
1,53,10568,,,,,,,
1,53,10569,,,,,,,
4,62,1057,,,,,,,
1,53,10570,,,,,,,
1,53,10571,,,,,,,
1,53,10572,,,,,,,
1,53,10575,,,,,,,
1,53,10576,,,,,,,
1,53,10577,,,,,,,
1,53,10578,,,,,,,
1,53,10579,,,,,,,
4,62,1058,,,,,,,
1,53,10580,,,,,,,
1,53,10581,,,,,,,
1,53,10582,,,,,,,
1,53,10583,,,,,,,
1,53,10584,,,,,,,
1,53,10585,,,,,,,
1,53,10586,,,,,,,
1,53,10587,,,,,,,
1,53,10588,,,,,,,
1,53,10589,,,,,,,
4,62,1059,,,,,,,
1,53,10590,,,,,,,
1,53,10591,,,,,,,
1,53,10592,,,,,,,
1,53,10593,,,,,,,
1,53,10594,,,,,,,
1,53,10595,,,,,,,
1,53,10596,,,,,,,
1,53,10597,,,,,,,
1,53,10598,,,,,,,
1,53,10599,,,,,,,
4,61,106,,,,,,,
4,62,1060,,,,,,,
1,53,10600,,,,,,,
1,53,10601,,,,,,,
1,53,10602,,,,,,,
1,53,10603,,,,,,,
1,53,10604,,,,,,,
1,53,10605,,,,,,,
1,53,10606,,,,,,,
1,53,10609,,,,,,,
4,62,1061,,,,,,,
1,53,10610,,,,,,,
1,53,10611,,,,,,,
1,53,10612,,,,,,,
1,53,10613,,,,,,,
1,53,10614,,,,,,,
1,53,10615,,,,,,,
1,53,10616,,,,,,,
1,53,10617,,,,,,,
1,53,10618,,,,,,,
1,53,10619,,,,,,,
4,62,1062,,,,,,,
1,53,10620,,,,,,,
1,53,10621,,,,,,,
1,53,10622,,,,,,,
1,53,10623,,,,,,,
1,53,10624,,,,,,,
1,53,10625,,,,,,,
1,53,10626,,,,,,,
1,53,10627,,,,,,,
1,53,10628,,,,,,,
1,53,10629,,,,,,,
4,62,1063,,,,,,,
1,53,10630,,,,,,,
1,53,10631,,,,,,,
1,53,10632,,,,,,,
1,53,10633,,,,,,,
1,53,10634,,,,,,,
1,53,10635,,,,,,,
1,53,10636,,,,,,,
8,53,10639,,,,,,,
4,62,1064,,,,,,,
8,53,10640,,,,,,,
8,53,10641,,,,,,,
8,53,10642,,,,,,,
8,53,10643,,,,,,,
8,53,10644,,,,,,,
8,53,10645,,,,,,,
8,53,10646,,,,,,,
8,53,10647,,,,,,,
8,53,10648,,,,,,,
8,53,10649,,,,,,,
4,62,1065,,,,,,,
8,53,10650,,,,,,,
8,53,10651,,,,,,,
8,53,10652,,,,,,,
8,53,10653,,,,,,,
8,53,10654,,,,,,,
8,53,10655,,,,,,,
8,53,10656,,,,,,,
8,53,10657,,,,,,,
8,53,10658,,,,,,,
8,53,10659,,,,,,,
8,53,10660,,,,,,,
8,53,10661,,,,,,,
8,53,10662,,,,,,,
8,53,10663,,,,,,,
8,53,10664,,,,,,,
8,53,10665,,,,,,,
8,53,10666,,,,,,,
8,53,10667,,,,,,,
8,53,10668,,,,,,,
8,53,10669,,,,,,,
8,53,10670,,,,,,,
8,53,10671,,,,,,,
8,53,10672,,,,,,,
8,53,10673,,,,,,,
8,53,10674,,,,,,,
8,53,10675,,,,,,,
8,53,10676,,,,,,,
8,53,10677,,,,,,,
5,62,1068,,,,,,,
4,11,10680,,,,,,,
